uri,title,year
https://hdl.handle.net/11245/3.2184,Kaart aanwijzende de verspreiding der cholera en het aantal sterfgevallen aan deze ziekte in elk der 50 buurten van Amsterdam  [1 Juni-18 October 1866] /,1867
https://hdl.handle.net/11245/3.2196,"Haec tabella hydrographicé oras maritimas Africae a promontorio dicto Capo de Cantin, Angolam usque, ob oculos ponit, cum situ insularum Hesperidum, vel Promontorij viridis, vulgó Del Cabo Verdo. ... /",1592
https://hdl.handle.net/11245/3.2206,"Pascaerte van Brazil en Nieu Nederlandt, van Corvo en Flores tot de Barbados",1660
https://hdl.handle.net/11245/3.2211,Africae nova tabula,1610
https://hdl.handle.net/11245/3.2231,[Kaart van de Bommelerwaard met het beleg van Zaltbommel door Mendoza].,1610
https://hdl.handle.net/11245/3.2240,Schetskaart van Midden Sumatra : behoorende bij een verslag eener reis van Padang naar Djambi en Palembang /,1877
https://hdl.handle.net/11245/3.2260,Amsterdam uitgelegen aan de IJ-zijde /,1857
https://hdl.handle.net/11245/3.2261,Alpinae seu Foederatae Rhaetiae subditarumque ei terrarum nova descriptio /,1618
https://hdl.handle.net/11245/3.227,Angling in troubled waters : a serio-comic map of Europe /,1899
https://hdl.handle.net/11245/3.2272,Humoristische Karte von Europa,1870
https://hdl.handle.net/11245/3.2273,Territorii Bergensis accuratissima descriptio /,1643
https://hdl.handle.net/11245/3.2282,"Kaarte van eenige landeryen, tuinen, lakenramen enz., gelegen in de Buitenveldersche stads polders, toebehoorende het St. Pieters Gasthuis in Amsterdam : zynde alles gemeten en getekend door den ondergetekenden landmeter by den Hove van Holland geadmitteerd, behalven de kampen N. O. A. B. C. D en E rondom het Pesthuis, benevens de platte grond van 't zelve huis, dewelke uit een oude kaart, gemaakt den 20 July 1676 door Cornelis Koel, overgenomen zyn /",1785
https://hdl.handle.net/11245/3.229,Freti Magellanici ac novi Freti vulgó Le Maire exactissima delineatio /,1630
https://hdl.handle.net/11245/3.2290,"Regni Angliae nova tabula, exhibens principatum Walliae & aliarum provinciarum, civitatum, oppidorum, una cum itineribus ab uno in aliam civitatem.",1689
https://hdl.handle.net/11245/3.2298,Barbaria,1662
